,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
76,Knn,intersection_union_sample,5,50,0.82,0.02,0.34,1,0,1,0,0,1,1,1,1,1,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
77,Knn,intersection_union_all,5,50,0.22,NA,0.02,0.22,0.15,0.33,0.16,0.18,0.2,0.22,0.23,0.26,0.28,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
78,Knn,negative_incon,5,50,0.76,0.02,0.48,1,-0.5,1,-0.5,-0.5,1,1,1,1,1,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
79,Knn,positive_incon,5,50,0.16,0.01,0.38,0,0,2,0,0,0,0,0,1,2,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
80,Knn,intersection_union_distance,5,50,0.14,0.01,0.36,0,0,2,0,0,0,0,0,1,2,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
81,SVR-H,ratio,5,50,0.73,0.05,0.18,0.83,0,1,0.03,0.16,0.61,0.83,0.93,0.99,1,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
82,SVR-H,ratio-diff,5,50,0.19,0.04,0.15,0.1,0,1,0,0,0.03,0.1,0.24,0.72,0.95,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
83,SVR-H,ratio-signed,5,50,0.66,0.07,0.3,0.82,-1,1,-0.8,-0.34,0.57,0.82,0.93,0.99,1,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
84,SVR-H,ratio-diff-signed,5,50,0.1,0.03,0.07,0.07,-1,1,-0.88,-0.42,0.02,0.07,0.18,0.58,0.9,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
85,SVR-H,intersection_union_sample,5,50,0.33,0.03,0.38,0,0,1,0,0,0,0,0.8,0.97,1,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
86,SVR-H,intersection_union_all,5,50,0.24,NA,0.01,0.24,0.21,0.31,0.21,0.22,0.23,0.24,0.25,0.26,0.29,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
87,SVR-H,negative_incon,5,50,0.11,0.03,0.57,-0.22,-0.5,1,-0.5,-0.5,-0.46,-0.22,0.8,0.97,1,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
88,SVR-H,positive_incon,5,50,0.24,0.01,0.28,0.15,0,1.68,0,0.01,0.06,0.15,0.3,0.85,1.3,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
89,SVR-H,intersection_union_distance,5,50,0.19,0.01,0.29,0.06,0,1.68,0,0,0.02,0.06,0.24,0.85,1.3,0.16,0,7586.24,314.62,0.05,0,0.22,0,0.79,0.01
90,SVR,ratio,5,50,0.79,0.05,0.16,0.88,0,1,0.07,0.25,0.71,0.88,0.95,1,1,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
91,SVR,ratio-diff,5,50,0.14,0.04,0.13,0.07,0,0.99,0,0,0.02,0.07,0.17,0.6,0.87,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
92,SVR,ratio-signed,5,50,0.76,0.06,0.24,0.87,-1,1,-0.64,0.08,0.71,0.87,0.95,1,1,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
93,SVR,ratio-diff-signed,5,50,0.1,0.03,0.07,0.06,-0.99,0.98,-0.78,0,0.02,0.06,0.14,0.49,0.78,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
94,SVR,intersection_union_sample,5,50,0.41,0.04,0.4,0.29,0,1,0,0,0,0.29,0.87,0.98,1,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
95,SVR,intersection_union_all,5,50,0.25,NA,0.01,0.25,0.21,0.3,0.22,0.22,0.24,0.25,0.26,0.27,0.28,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
96,SVR,negative_incon,5,50,0.21,0.04,0.61,0.29,-0.5,1,-0.5,-0.5,-0.47,0.29,0.87,0.98,1,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
97,SVR,positive_incon,5,50,0.26,0,0.3,0.15,0,1.64,0,0.02,0.06,0.15,0.33,0.9,1.37,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
98,SVR,intersection_union_distance,5,50,0.21,0.01,0.32,0.04,0,1.64,0,0,0.01,0.04,0.27,0.9,1.37,0.17,0,7703.61,376.27,0.05,0,0.23,0,0.77,0.01
